Generation,Heuristic (FCFS),Heuristic (EDD),Heuristic (SPT),Heuristic (LPT),Standard GA,GA-Tabu,FLC-GA,SSO,HFGA-TS
1,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,27792.87417633245,27792.87417633245,27311.928004908972,26675.034914151318,26165.651261599407
2,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,27257.879139168243,27257.879139168243,27163.495564458102,25524.21441899871,26165.651261599407
3,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,25834.05504560781,25834.05504560781,26164.9236633725,24630.541049335734,25373.581269792267
4,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,24635.107121061745,24635.107121061745,24712.26742149498,23190.900222032327,24560.43364574772
5,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22273.99813699389,22273.99813699389,24712.26742149498,23190.900222032327,23567.27729401759
6,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22273.99813699389,22273.99813699389,24712.26742149498,23190.900222032327,23567.27729401759
7,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22273.99813699389,22273.99813699389,24712.26742149498,23190.900222032327,23215.59735454271
8,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22273.99813699389,22273.99813699389,23682.52429982287,22952.36416622501,22228.700968161822
9,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22273.99813699389,22273.99813699389,21847.70318868689,22906.37693423989,22228.700968161822
10,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22273.99813699389,22273.99813699389,21847.70318868689,21740.109913528802,22228.700968161822
11,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22273.99813699389,22273.99813699389,21847.70318868689,21740.109913528802,22228.700968161822
12,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22273.99813699389,22273.99813699389,21847.70318868689,21740.109913528802,22228.700968161822
13,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,22273.99813699389,22273.99813699389,21847.70318868689,21591.94341941442,22228.700968161822
14,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,21156.272900786495,21156.272900786495,21847.70318868689,21330.843861461548,22228.700968161822
15,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,21156.272900786495,21156.272900786495,21847.70318868689,21330.843861461548,21916.02793730604
16,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,21156.272900786495,21156.272900786495,21847.70318868689,21146.022346161808,21916.02793730604
17,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,21156.272900786495,21156.272900786495,21847.70318868689,20975.226539656887,21916.02793730604
18,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,21156.272900786495,21156.272900786495,21847.70318868689,20908.71360742042,21916.02793730604
19,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20845.11297475509,20845.11297475509,21847.70318868689,20908.71360742042,21916.02793730604
20,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20845.11297475509,20845.11297475509,21847.70318868689,20908.71360742042,21916.02793730604
21,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20845.11297475509,20845.11297475509,21847.70318868689,20908.71360742042,21916.02793730604
22,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20845.11297475509,20845.11297475509,21847.70318868689,20908.71360742042,21916.02793730604
23,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20845.11297475509,20845.11297475509,21779.47368041408,20844.90286940692,21916.02793730604
24,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20845.11297475509,20845.11297475509,21771.318305047607,20844.90286940692,21916.02793730604
25,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20845.11297475509,20845.11297475509,21771.318305047607,20844.90286940692,21916.02793730604
26,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20842.794485516868,20842.794485516868,21771.318305047607,20844.90286940692,21916.02793730604
27,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20842.794485516868,20842.794485516868,21771.318305047607,20844.90286940692,21916.02793730604
28,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20827.400429898025,20827.400429898025,21771.318305047607,20844.90286940692,21916.02793730604
29,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20827.400429898025,20827.400429898025,21771.318305047607,20844.90286940692,21916.02793730604
30,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20827.400429898025,20827.400429898025,21771.318305047607,20844.90286940692,21916.02793730604
31,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20827.400429898025,20827.400429898025,21771.318305047607,20844.90286940692,21916.02793730604
32,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20751.116748637112,20751.116748637112,21771.318305047607,20844.90286940692,21916.02793730604
33,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20751.116748637112,20751.116748637112,21771.318305047607,20844.90286940692,21617.687195455732
34,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20553.12250720107,20553.12250720107,21771.318305047607,20844.90286940692,21617.687195455732
35,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20553.12250720107,20553.12250720107,21771.318305047607,20844.90286940692,21232.784351312846
36,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20553.12250720107,20553.12250720107,21479.030577905898,20844.90286940692,21232.784351312846
37,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20553.12250720107,20553.12250720107,21479.030577905898,20844.90286940692,21232.784351312846
38,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20435.3777739324,20435.3777739324,21479.030577905898,20372.989851927246,21232.784351312846
39,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20435.3777739324,20435.3777739324,21479.030577905898,20372.989851927246,21232.784351312846
40,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20435.3777739324,20435.3777739324,21479.030577905898,20372.989851927246,21232.784351312846
41,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20435.3777739324,20435.3777739324,21479.030577905898,20372.989851927246,20735.826083616994
42,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,20435.3777739324,20435.3777739324,21479.030577905898,20372.989851927246,20735.826083616994
43,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,19870.007699291087,19870.007699291087,21479.030577905898,20372.989851927246,20735.826083616994
44,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,19870.007699291087,19870.007699291087,21479.030577905898,20253.64257639739,20735.826083616994
45,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,19870.007699291087,19870.007699291087,21479.030577905898,20253.64257639739,20735.826083616994
46,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,19870.007699291087,19870.007699291087,21479.030577905898,20253.64257639739,20735.826083616994
47,14655.531109312737,15171.944999293166,17574.402951630804,17948.07486657659,19870.007699291087,19870.007699291087,21479.030577905898,20253.64257639739,20735.826083616994
