Generation,Heuristic (FCFS),Heuristic (EDD),SSO,HFGA-TS
1,19290.722814615314,18983.56746695057,25378.445344123684,24901.809990367998
2,19290.722814615314,18983.56746695057,24573.517809450426,24156.414108123176
3,19290.722814615314,18983.56746695057,24573.517809450426,24127.51944923827
4,19290.722814615314,18983.56746695057,23898.98764905958,24127.51944923827
5,19290.722814615314,18983.56746695057,23898.98764905958,24127.51944923827
6,19290.722814615314,18983.56746695057,23301.81015736341,23702.171967434093
7,19290.722814615314,18983.56746695057,23301.81015736341,23542.73449958852
8,19290.722814615314,18983.56746695057,23256.765747310365,23542.73449958852
9,19290.722814615314,18983.56746695057,22362.746549781692,22925.863442138532
10,19290.722814615314,18983.56746695057,22362.746549781692,22925.863442138532
11,19290.722814615314,18983.56746695057,22362.746549781692,22436.139185846743
12,19290.722814615314,18983.56746695057,22101.270333731478,22436.139185846743
13,19290.722814615314,18983.56746695057,22101.270333731478,22436.139185846743
14,19290.722814615314,18983.56746695057,22101.270333731478,22436.139185846743
15,19290.722814615314,18983.56746695057,22101.270333731478,22436.139185846743
16,19290.722814615314,18983.56746695057,22101.270333731478,22436.139185846743
17,19290.722814615314,18983.56746695057,22101.270333731478,22436.139185846743
18,19290.722814615314,18983.56746695057,22101.270333731478,22436.139185846743
19,19290.722814615314,18983.56746695057,22101.270333731478,22436.139185846743
20,19290.722814615314,18983.56746695057,22101.270333731478,22436.139185846743
21,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
22,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
23,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
24,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
25,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
26,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
27,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
28,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
29,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
30,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
31,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
32,19290.722814615314,18983.56746695057,21870.80207295034,21981.912631526484
33,19290.722814615314,18983.56746695057,21681.936911364908,21981.912631526484
34,19290.722814615314,18983.56746695057,20788.151853302712,21981.912631526484
35,19290.722814615314,18983.56746695057,20788.151853302712,21981.912631526484
36,19290.722814615314,18983.56746695057,20788.151853302712,21981.912631526484
37,19290.722814615314,18983.56746695057,20788.151853302712,21981.912631526484
38,19290.722814615314,18983.56746695057,20788.151853302712,21981.912631526484
39,19290.722814615314,18983.56746695057,20693.317184864143,21981.912631526484
40,19290.722814615314,18983.56746695057,20693.317184864143,21981.912631526484
41,19290.722814615314,18983.56746695057,20693.317184864143,21981.912631526484
42,19290.722814615314,18983.56746695057,20693.317184864143,21981.912631526484
43,19290.722814615314,18983.56746695057,20693.317184864143,21981.912631526484
44,19290.722814615314,18983.56746695057,20693.317184864143,21981.912631526484
45,19290.722814615314,18983.56746695057,20549.51297169737,21981.912631526484
46,19290.722814615314,18983.56746695057,20549.51297169737,21981.912631526484
47,19290.722814615314,18983.56746695057,20549.51297169737,21981.912631526484
48,19290.722814615314,18983.56746695057,20549.51297169737,21981.912631526484
49,19290.722814615314,18983.56746695057,20549.51297169737,21981.912631526484
50,19290.722814615314,18983.56746695057,20549.51297169737,21981.912631526484
